player_name,draft_year,pick_number,college,height_inches,weight_lbs,position,ppg,apg,rpg,spg,bpg,mpg,topg,fpg,fg_pct,three_pt_pct,ft_pct,efg_pct,two_pt_pct,ws,ws_40,ows,dws,ts_pct,tov_pct,ftr,three_pt_attempt_rate,college_seasons,one_and_done,recruit_rank,is_top_100_recruit,is_top_10_recruit,nba_seasons,nba_4yr_total_mp,nba_4yr_bpm,nba_4yr_vorp,nba_4yr_ws,career_ws48,meaningful_career,bpm_tier,minutes_tier,PosVORP
Steven Hunter,2001,15,DePaul,84,220,Center,9.904761905,0.380952381,4.714285714,0.1746031746,2.031746032,24.63492063,1.603174603,2.238095238,0.586,0,0.6,0.586,0.589,7.9,0.203,3.8,4,0.594,16.1,0.465,0.005,2,0,36,1,0,8,2798,-2.21,-0.2,5.1,0.085,1,Rotation,Rotation,0
Kirk Haston,2001,16,Indiana,81,242,Center,14.64583333,1.15625,7.791666667,0.8333333333,1.083333333,26.79166667,2.03125,2.65625,0.473,0.366,0.717,0.484,0.48,11.5,0.178,4.5,7,0.523,12.7,0.354,0.062,3,0,101,0,0,2,134,-13.25671642,-0.4,-0.6,-0.197,0,Bust,Bust,0
Michael Bradley,2001,17,Villanova,82,245,Center,10.87,1.33,5.4,0.64,1.02,20.85,1.65,1.87,0.677,0.353,0.541,0.687,0.695,12.8,0.246,8.8,4,0.662,16.7,0.548,0.052,3,0,101,0,0,5,1649,-3.78,-0.8,1.8,0.047,0,Bust,Rotation,0
Jason Collins,2001,18,Stanford,84,255,Center,10.75342466,0.7534246575,6.630136986,0.4657534247,1.219178082,22,1.493150685,2.273972603,0.612,0.444,0.716,0.626,0.623,12.6,0.314,6.4,6.2,0.662,15.5,0.813,0.063,4,0,101,0,0,13,8069,-2.163403148,-0.3,16.5,0.064,1,Rotation,Starter+,0
Zach Randolph,2001,19,Michigan State,81,253,Center,10.78787879,1.03030303,6.696969697,0.7272727273,0.6666666667,19.81818182,1.606060606,1.818181818,0.587,0,0.635,0.587,0.59,5.1,0.315,2.3,2.8,0.604,15.2,0.536,0.004,1,1,1,1,1,17,6209,-0.5217426317,1.63,15.5,0.112,1,Rotation,Starter+,1
Brendan Haywood,2001,20,UNC,84,268,Center,10.0070922,0.8368794326,5.95035461,0.3333333333,2.156028369,23.5106383,1.581560284,2.446808511,0.637,0,0.591,0.637,0.637,19.3,0.233,10.6,8.8,0.634,16.7,0.656,0,4,0,101,0,0,13,6545,-0.9694576012,1.7,17.1,0.113,1,Rotation,Starter+,1
Joseph Forte,2001,21,UNC,76,194,Guard,18.69565217,3.043478261,5.782608696,1.753623188,0.3913043478,33.91304348,2.449275362,2,0.454,0.368,0.81,0.507,0.489,8.8,0.15,5.3,3.5,0.544,12.5,0.259,0.286,2,0,4,1,1,2,125,-8.6264,-0.2,-0.4,-0.166,0,Bust,Bust,0
Jeryl Sasser,2001,22,SMU,78,200,Guard,17.02564103,4.008547009,8.341880342,1.683760684,0.5726495726,34.58119658,2.760683761,2.170940171,0.394,0.28,0.71,0.433,0.438,14.6,0.144,2.9,11.6,0.485,13.6,0.421,0.278,4,0,101,0,0,2,1061,-2.479830349,-0.1,0.7,0.032,0,Rotation,Rotation,0
Brandon Armstrong,2001,23,Pepperdine,77,188,Guard,18.07692308,1.476923077,3.215384615,1.692307692,0.2153846154,30.36923077,1.938461538,2.584615385,0.439,0.391,0.824,0.511,0.467,8.7,0.177,5,3.7,0.544,10.4,0.214,0.37,2,0,101,0,0,3,699,-7.979828326,-1,-0.6,-0.039,0,Bust,Bust,0
Gerald Wallace,2001,25,Alabama,79,215,Forward,9.75,1.527777778,6,1.166666667,1.027777778,22.88888889,2.388888889,2.416666667,0.438,0.175,0.568,0.457,0.511,3.5,0.168,0.4,3,0.485,19.2,0.538,0.219,1,1,4,1,1,14,3485,-0.839856528,1.1,4.3,0.116,1,Rotation,Rotation,1
